wandb: Currently logged in as: jaivdoshi. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.16.0 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.15.12
wandb: Run data is saved locally in /home/jaiv/modified_dqn_pong/wandb/run-20231115_110256-9mhhqqki
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run BLOCKER_HA_LOSS
wandb: ⭐️ View project at https://wandb.ai/jaivdoshi/modified_hirl
wandb: 🚀 View run at https://wandb.ai/jaivdoshi/modified_hirl/runs/9mhhqqki
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
877 0 rew:-2319 mean_rew:nan fps:773, eps:0.99, loss:nan catastrophes:23
49831 55 rew:-1920 mean_rew:-2611.88 fps:73, eps:0.50, loss:86.0061 catastrophes:19
50607 56 rew:-1421 mean_rew:-2589.35 fps:70, eps:0.49, loss:85.2670 catastrophes:14
51579 57 rew:-1919 mean_rew:-2556.85 fps:71, eps:0.48, loss:88.1820 catastrophes:19
52458 58 rew:-1719 mean_rew:-2574.30 fps:71, eps:0.48, loss:77.5882 catastrophes:17
53284 59 rew:-2321 mean_rew:-2551.82 fps:70, eps:0.47, loss:85.3831 catastrophes:23
54087 60 rew:-2021 mean_rew:-2581.82 fps:72, eps:0.46, loss:82.4710 catastrophes:20
55008 61 rew:-1421 mean_rew:-2539.40 fps:72, eps:0.45, loss:79.8082 catastrophes:14
55757 62 rew:-1320 mean_rew:-2521.93 fps:71, eps:0.44, loss:70.7979 catastrophes:13
56507 63 rew:-1320 mean_rew:-2479.43 fps:70, eps:0.43, loss:71.7873 catastrophes:13
57249 64 rew:-2020 mean_rew:-2444.40 fps:69, eps:0.43, loss:67.5728 catastrophes:20
58170 65 rew:-1520 mean_rew:-2444.43 fps:69, eps:0.42, loss:76.8994 catastrophes:15
58983 66 rew:-621 mean_rew:-2409.45 fps:67, eps:0.41, loss:66.4286 catastrophes:6
59741 67 rew:-420 mean_rew:-2349.53 fps:69, eps:0.40, loss:65.2244 catastrophes:4
60493 68 rew:-820 mean_rew:-2292.03 fps:69, eps:0.40, loss:58.9347 catastrophes:8
61267 69 rew:-1621 mean_rew:-2217.07 fps:71, eps:0.39, loss:67.5166 catastrophes:16
62047 70 rew:-1021 mean_rew:-2159.65 fps:70, eps:0.38, loss:63.9642 catastrophes:10
62806 71 rew:-321 mean_rew:-2072.25 fps:69, eps:0.37, loss:62.6941 catastrophes:3
63633 72 rew:-820 mean_rew:-2017.25 fps:68, eps:0.36, loss:56.7109 catastrophes:8
64415 73 rew:-821 mean_rew:-1954.78 fps:69, eps:0.36, loss:59.2092 catastrophes:8
65233 74 rew:-720 mean_rew:-1899.83 fps:70, eps:0.35, loss:51.4042 catastrophes:7
65980 75 rew:-1421 mean_rew:-1877.30 fps:70, eps:0.34, loss:53.9603 catastrophes:14
66872 76 rew:-721 mean_rew:-1857.35 fps:70, eps:0.33, loss:58.9100 catastrophes:7
67643 77 rew:-921 mean_rew:-1802.38 fps:69, eps:0.32, loss:51.0045 catastrophes:9
68573 78 rew:-518 mean_rew:-1730.00 fps:68, eps:0.31, loss:50.4652 catastrophes:5
69382 79 rew:-1319 mean_rew:-1672.45 fps:69, eps:0.31, loss:51.3985 catastrophes:13
70356 80 rew:-420 mean_rew:-1637.45 fps:72, eps:0.30, loss:46.7025 catastrophes:4
71186 81 rew:-1019 mean_rew:-1584.95 fps:70, eps:0.29, loss:43.6612 catastrophes:10
72000 82 rew:-821 mean_rew:-1552.40 fps:70, eps:0.28, loss:45.4688 catastrophes:8
73067 83 rew:-1120 mean_rew:-1509.95 fps:69, eps:0.27, loss:43.3356 catastrophes:11
73823 84 rew:-620 mean_rew:-1472.45 fps:68, eps:0.26, loss:40.8783 catastrophes:6
74632 85 rew:-1321 mean_rew:-1435.03 fps:69, eps:0.25, loss:41.1407 catastrophes:13
75445 86 rew:-820 mean_rew:-1410.10 fps:70, eps:0.25, loss:37.5034 catastrophes:8
76262 87 rew:-521 mean_rew:-1355.12 fps:70, eps:0.24, loss:36.7689 catastrophes:5
77021 88 rew:-319 mean_rew:-1305.20 fps:69, eps:0.23, loss:39.7305 catastrophes:3
77777 89 rew:-621 mean_rew:-1215.17 fps:72, eps:0.22, loss:33.8834 catastrophes:6
78533 90 rew:-621 mean_rew:-1197.70 fps:68, eps:0.21, loss:29.4691 catastrophes:6
79291 91 rew:-421 mean_rew:-1152.72 fps:71, eps:0.21, loss:30.7389 catastrophes:4
80068 92 rew:-1121 mean_rew:-1135.25 fps:69, eps:0.20, loss:32.3034 catastrophes:11
